id,Age,Gender,Education Level,Job Title,Years of Experience
280,31.0,Male,Bachelor's,Junior Operations Analyst,3.0
281,41.0,Female,Bachelor's,Senior Project Coordinator,11.0
282,47.0,Male,Master's,Director of Marketing,19.0
283,29.0,Female,Bachelor's,Junior Business Development Associate,1.5
284,35.0,Male,Bachelor's,Senior Financial Manager,9.0
285,44.0,Female,PhD,Senior Product Designer,15.0
286,33.0,Male,Bachelor's,Junior Business Analyst,4.0
287,,Female,Bachelor's,Senior Marketing Analyst,8.0
288,44.0,Male,Bachelor's,Senior Software Engineer,13.0
289,32.0,Male,Bachelor's,Junior Product Manager,4.0
290,38.0,Female,Bachelor's,Senior Business Analyst,10.0
291,49.0,Male,PhD,Director of Operations,21.0
292,29.0,Female,Bachelor's,Junior Marketing Specialist,2.0
293,35.0,Male,Bachelor's,Senior Business Development Manager,7.0
294,45.0,Female,Master's,Senior HR Manager,14.0
295,33.0,Male,Bachelor's,Junior Financial Analyst,4.0
296,40.0,Female,Bachelor's,Senior Marketing Manager,12.0
297,44.0,Male,PhD,Senior Data Scientist,16.0
298,30.0,Female,Bachelor's,Junior Operations Coordinator,2.0
299,37.0,Male,Bachelor's,Senior Marketing Analyst,9.0
300,48.0,Female,Master's,Director of HR,20.0
301,31.0,Male,Bachelor's,Junior Project Manager,3.0
302,38.0,Female,Bachelor's,Senior Operations Coordinator,9.0
303,45.0,Male,PhD,Senior Data Engineer,16.0
304,33.0,Female,Bachelor's,Junior Marketing Manager,5.0
305,36.0,Male,Bachelor's,Senior Business Analyst,8.0
306,49.0,Female,Master's,Director of Marketing,21.0
307,31.0,Male,Bachelor's,Junior Operations Analyst,3.0
308,42.0,Female,Bachelor's,Senior Project Manager,12.0
309,47.0,Male,Master's,Director of Marketing,19.0
310,29.0,Female,Bachelor's,Junior Business Development Associate,1.5
311,35.0,Male,Bachelor's,Senior Financial Manager,9.0
312,44.0,Female,PhD,Senior Product Designer,15.0
313,33.0,Male,Bachelor's,Junior Business Analyst,4.0
314,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0
315,,Male,Bachelor's,Senior Software Engineer,13.0
316,34.0,Female,Master's,Senior Financial Advisor,6.0
317,36.0,Male,Bachelor's,Senior Marketing Specialist,8.0
318,30.0,Female,Bachelor's,Junior HR Coordinator,2.0
319,37.0,Male,Bachelor's,Senior Business Development Manager,10.0
320,45.0,Female,Master's,Senior Marketing Manager,16.0
321,32.0,Male,Bachelor's,Junior Financial Advisor,4.0
322,39.0,Female,Bachelor's,Senior Project Manager,12.0
323,47.0,Male,PhD,Director of Engineering,20.0
324,29.0,Female,Bachelor's,Junior Marketing Analyst,2.0
325,36.0,Male,Bachelor's,Senior Operations Manager,9.0
326,43.0,Female,PhD,Senior Data Scientist,15.0
327,32.0,Male,Bachelor's,Junior Marketing Coordinator,3.0
328,38.0,Female,Bachelor's,Senior Business Analyst,10.0
329,48.0,Male,Master's,Director of Marketing,21.0
330,31.0,Female,Bachelor's,Junior Business Development Associate,3.0
331,40.0,Male,Bachelor's,Senior Financial Analyst,12.0
332,45.0,Female,PhD,,16.0
333,33.0,Male,Bachelor's,Junior Product Manager,4.0
334,36.0,Female,Bachelor's,Senior Marketing Manager,8.0
335,47.0,Male,Master's,Director of Operations,19.0
336,29.0,Female,Bachelor's,Junior Project Manager,2.0
337,34.0,Male,Bachelor's,Senior Operations Coordinator,7.0
338,44.0,Female,PhD,Senior Business Analyst,15.0
339,33.0,Male,Bachelor's,Junior Marketing Specialist,5.0
340,35.0,Female,Bachelor's,Senior Financial Manager,8.0
341,43.0,Male,Master's,Director of Marketing,18.0
342,31.0,Female,Bachelor's,Junior Financial Analyst,3.0
343,41.0,Male,Bachelor's,Senior Product Manager,14.0
344,44.0,Female,PhD,Senior Data Engineer,16.0
345,33.0,Male,Bachelor's,Junior Business Analyst,4.0
346,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0
347,45.0,Male,Master's,Director of Engineering,19.0
348,28.0,Female,Bachelor's,Junior Operations Manager,1.0
349,36.0,Male,Bachelor's,Senior Business Development Manager,8.0
350,44.0,Female,PhD,Senior Data Scientist,16.0
351,31.0,Male,Bachelor's,Junior Marketing Coordinator,3.0
352,38.0,Female,Bachelor's,Senior Business Analyst,10.0
353,48.0,Male,Master's,Director of Marketing,21.0
354,31.0,Female,Bachelor's,Junior Business Development Associate,3.0
355,40.0,Male,Bachelor's,Senior Financial Analyst,12.0
356,45.0,Female,PhD,Senior UX Designer,16.0
357,33.0,Male,Bachelor's,Junior Product Manager,4.0
358,36.0,Female,Bachelor's,Senior Marketing Manager,8.0
359,47.0,Male,Master's,Director of Operations,19.0
360,29.0,Female,Bachelor's,Junior Project Manager,2.0
361,34.0,Male,Bachelor's,Senior Operations Coordinator,7.0
362,44.0,Female,PhD,Senior Business Analyst,15.0
363,33.0,Male,Bachelor's,Junior Marketing Specialist,5.0
364,35.0,Female,Bachelor's,Senior Financial Manager,8.0
365,43.0,Male,Master's,Director of Marketing,18.0
366,31.0,Female,,Junior Financial Analyst,3.0
367,41.0,Male,Bachelor's,Senior Product Manager,14.0
368,44.0,Female,PhD,Senior Data Engineer,16.0
369,33.0,Male,Bachelor's,Junior Business Analyst,4.0
370,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0
371,43.0,Male,Master's,Director of Operations,19.0
372,29.0,Female,Bachelor's,Junior Project Manager,2.0
373,34.0,Male,Bachelor's,Senior Operations Coordinator,7.0
374,44.0,Female,PhD,Senior Business Analyst,15.0
